TIME_INTERVAL,RESOURCE_NAME,REGION_NAME,QUANTITY,TECHNOLOGY
10/1/2023 0:25,01SUAL_G01,CLUZ,647,Coal
10/1/2023 0:25,01SUAL_G02,CLUZ,647,Coal
10/1/2023 0:25,01S_ENRO_G01,CLUZ,110,Oil-Based
10/1/2023 0:25,01T_ASIA_G01,CLUZ,48,Oil-Based
10/1/2023 0:25,02TMOBIL_G01,CLUZ,63,Oil-Based
10/1/2023 0:25,02TMOBIL_G02,CLUZ,15,Oil-Based
10/1/2023 0:25,02TMOBIL_G03,CLUZ,53,Oil-Based
10/1/2023 0:25,02TMOBIL_G04,CLUZ,46,Oil-Based
10/1/2023 0:25,03AVION_U01,CLUZ,43,Natural Gas
10/1/2023 0:25,03AVION_U02,CLUZ,43,Natural Gas
10/1/2023 0:25,03CALACA_G01,CLUZ,240,Coal
10/1/2023 0:25,03ILIJAN_G01,CLUZ,480,Natural Gas
10/1/2023 0:25,03ILIJAN_G02,CLUZ,290,Natural Gas
10/1/2023 0:25,03INGRID_GS1,CLUZ,28,Oil-Based
10/1/2023 0:25,03INGRID_GS2,CLUZ,22,Oil-Based
10/1/2023 0:25,03INGRID_GS3,CLUZ,22,Oil-Based
10/1/2023 0:25,03INGRID_GS4,CLUZ,28,Oil-Based
10/1/2023 0:25,03INGRID_GS5,CLUZ,22,Oil-Based
10/1/2023 0:25,03INGRID_GS6,CLUZ,28,Oil-Based
10/1/2023 0:25,03MGI_G02,CLUZ,12,Geothermal
10/1/2023 0:25,03MGPP_G01,CLUZ,20,Geothermal
10/1/2023 0:25,03MKBN_A,CLUZ,84,Geothermal
10/1/2023 0:25,03MKBN_B,CLUZ,95,Geothermal
10/1/2023 0:25,03MKBN_D,CLUZ,27,Geothermal
10/1/2023 0:25,03MKBN_E,CLUZ,19,Geothermal
10/1/2023 0:25,03ORMAT_G01,CLUZ,3,Geothermal
10/1/2023 0:25,03PAGBIL_G01,CLUZ,382,Coal
10/1/2023 0:25,03PAGBIL_G02,CLUZ,382,Coal
10/1/2023 0:25,03PAGBIL_G03,CLUZ,420,Coal
10/1/2023 0:25,03QPPL_G01,CLUZ,460,Coal
10/1/2023 0:25,03RCBMI_G01,CLUZ,5.5,Oil-Based
10/1/2023 0:25,03RCBMI_G02,CLUZ,5.5,Oil-Based
10/1/2023 0:25,03SBPL_G01,CLUZ,455,Coal
10/1/2023 0:25,03SLPGC_G01,CLUZ,130,Coal
10/1/2023 0:25,03SLTEC_G02,CLUZ,124,Coal
10/1/2023 0:25,03SNGAB_G01,CLUZ,408.6,Natural Gas
10/1/2023 0:25,03STA-RI_G01,CLUZ,257.3,Natural Gas
10/1/2023 0:25,03STA-RI_G02,CLUZ,255.7,Natural Gas
10/1/2023 0:25,03STA-RI_G03,CLUZ,265.5,Natural Gas
10/1/2023 0:25,03STA-RI_G04,CLUZ,264,Natural Gas
10/1/2023 0:25,03STA-RI_G05,CLUZ,265,Natural Gas
10/1/2023 0:25,03TIWI_A,CLUZ,18,Geothermal
10/1/2023 0:25,03TIWI_C,CLUZ,95,Geothermal
10/1/2023 0:25,04IASMOD_G01,CVIS,10,Oil-Based
10/1/2023 0:25,04IASMOD_G02,CVIS,10.1,Oil-Based
10/1/2023 0:25,04IASMOD_G03,CVIS,15.1,Oil-Based
10/1/2023 0:25,04IASMOD_G04,CVIS,10.2,Oil-Based
10/1/2023 0:25,04IASMOD_G05,CVIS,15.1,Oil-Based
10/1/2023 0:25,04IASMOD_G06,CVIS,10.2,Oil-Based
10/1/2023 0:25,05CEDC_U01,CVIS,82,Coal
10/1/2023 0:25,05CPPC_U01,CVIS,6.5,Oil-Based
10/1/2023 0:25,05CPPC_U02,CVIS,6.5,Oil-Based
10/1/2023 0:25,05CPPC_U03,CVIS,6.5,Oil-Based
10/1/2023 0:25,05CPPC_U04,CVIS,6.5,Oil-Based
